Bowflex Max Trainer,CAM47197 IFC*N120HAMBYTIC,8/23/2015,8/23/2015,8/17/2015,1,Short Form,Third Party Call Center - West
Bowflex Max Trainer,CAM40825 1800TREADCLIMBER,,8/24/2015,8/24/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/24/2015,8/24/2015,8/24/2015,5,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/24/2015,8/24/2015,7,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/25/2015,8/25/2015,8/24/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/25/2015,8/24/2015,7,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/26/2015,8/26/2015,8/24/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/26/2015,8/24/2015,7,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/27/2015,8/27/2015,8/24/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/27/2015,8/24/2015,4,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/28/2015,8/28/2015,8/24/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/28/2015,8/24/2015,2,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/29/2015,8/29/2015,8/24/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/29/2015,8/24/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,8/30/2015,8/30/2015,8/24/2015,1,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM45327 1800MAXTRAINER,,8/30/2015,8/24/2015,6,Un-Sourced,Call Center Internal
Bowflex Max Trainer,CAM44172 dseesf14a,8/31/2015,8/31/2015,8/31/2015,1,Electronic - Short Form,Web
Bowflex Max Trainer,CAM41189 degemax,,8/31/2015,8/31/2015,2,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM44433 dege1sitemx,8/31/2015,8/31/2015,8/31/2015,1,Electronic - UnSourced,Web
Bowflex Max Trainer,CAM47251 DODCTOEDL2,,8/31/2015,8/31/2015,1,Online Display,Web
Bowflex Max Trainer,CAM47153 DOSBIEML2,8/31/2015,8/31/2015,8/31/2015,1,Online Search,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,8/31/2015,8/31/2015,8/31/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM44887 dofg2efeed1,,8/31/2015,8/31/2015,1,Online Shopping,Web
Bowflex Max Trainer,CAM47987 DOXFBESCL001,,8/31/2015,8/31/2015,1,Online Social,Web
Bowflex Max Trainer,CAM45400 DOVHULUEVL1,8/31/2015,8/31/2015,8/31/2015,1,Online Video,Web
Bowflex Max Trainer,CAM47606 DOVHULUEVL5,8/31/2015,8/31/2015,8/31/2015,2,Online Video,Web
